parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment,
fFeBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFyBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFeZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFyZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFBeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFByS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFZeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFZyS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFBeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFByD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFZeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFZyD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMBeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMByS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
